Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,,,,,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,213,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,214,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,215,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,216,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,217,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,218,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,219,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,220,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,221,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,222,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,223,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,224,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,225,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,226,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,227,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,228,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,229,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,230,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,231,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,232,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,233,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,234,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,235,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,236,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,237,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,238,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,239,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,240,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,241,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,242,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,243,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,244,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,245,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,246,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,247,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,248,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,249,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,250,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,251,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,252,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,253,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,254,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,255,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,256,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,257,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,258,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,259,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,260,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,261,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,262,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,263,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,264,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,265,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,266,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,267,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,268,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,269,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,270,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,271,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,272,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,273,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,274,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,275,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,276,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,277,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,278,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,279,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,280,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,281,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,282,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,283,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,284,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,285,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
