zone,Investment,FixedOM,VariableOM,Fuel,Startup,Total
CEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.0994308648409217e-9,0.0,0.0,2.0994308648409217e-9
co2_sink_SE_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,8.078281543994255e-8,0.0,0.0,8.078281543994255e-8
SE_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,1.976486961788487e-9,0.0,0.0,1.976486961788487e-9
co2_sink_MIDAT_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,7.738518219320962e-8,0.0,0.0,7.738518219320962e-8
MIDAT_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,1.8809046454386637e-9,0.0,0.0,1.8809046454386637e-9
co2_sink_NE_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,7.148730950606308e-8,0.0,0.0,7.148730950606308e-8
NE_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,1.733378243742632e-9,0.0,0.0,1.733378243742632e-9
CEN_CEN_Bio_Ethanol_CCS_20_Herb_transforms,2.456689181377614e-7,2.945415119649477e-7,1.7535874521547767e-9,0.0,0.0,5.419640175548638e-7
CEN_CEN_Bio_Ethanol_CCS_86_Herb_transforms,2.0754422830984206e-7,1.8475686459597715e-7,3.129549850619343e-9,0.0,0.0,3.954306427564386e-7
CEN_CEN_Bio_Ethanol_Herb_transforms,2.224997337331428e-7,2.7600124212128346e-7,1.4574589017859877e-9,0.0,0.0,4.999584347562122e-7
MIDAT_MIDAT_Bio_Ethanol_CCS_20_Herb_transforms,2.3662203244891872e-7,2.8369486758858625e-7,1.6344345804684686e-9,0.0,0.0,5.219513346179734e-7
MIDAT_MIDAT_Bio_Ethanol_CCS_86_Herb_transforms,3.360784529694173e-7,2.9917864608693424e-7,8.345030654748116e-9,0.0,0.0,6.436021297110997e-7
MIDAT_MIDAT_Bio_Ethanol_Herb_transforms,2.225081667730714e-7,2.7601170294052175e-7,1.457568660345774e-9,0.0,0.0,4.999774383739389e-7
NCEN_NCEN_Bio_Ethanol_CCS_20_Herb_transforms,2.423602799032951e-7,2.905746637551215e-7,1.7100126806037903e-9,0.0,0.0,5.346449563390204e-7
NCEN_NCEN_Bio_Ethanol_CCS_86_Herb_transforms,3.6531324883917837e-7,3.2520360118198435e-7,9.535477427563646e-9,0.0,0.0,7.000523274487263e-7
NCEN_NCEN_Bio_Ethanol_Herb_transforms,2.225211627659433e-7,2.760278239044216e-7,1.4577376962863557e-9,0.0,0.0,5.000067243666514e-7
SE_SE_Bio_Ethanol_CCS_20_Herb_transforms,2.3971323444522296e-7,2.874010234860529e-7,1.675149470627827e-9,0.0,0.0,5.287894074019036e-7
SE_SE_Bio_Ethanol_CCS_86_Herb_transforms,3.59965923481265e-7,3.204433865754489e-7,9.31690405385158e-9,0.0,0.0,6.897262141105655e-7
